# Synapsin Phase Diagram - Complete Simulation Matrix
# Literature-compliant parameters: COPIES=500, BOX=35³, ρ≈0.23 σ⁻³
#
# Columns: sim_id,eps,temp,arch_a,arch_b,chain_len,copies,box_size,priority,category
#
# Categories:
#   core_grid     - Main ε×T phase diagram for A4B20
#   valency       - Architecture comparison
#   chain_length  - N=48, N=96 effects
#   fine_grid     - High resolution around critical points
#   replicate     - Statistical replicates
#   control       - Low concentration comparison

# ============================================================
# PHASE 1: CORE ε×T GRID (A4B20, N=24) - 48 simulations
# ============================================================
# ε sweep at each temperature
001,4,250,4,20,24,500,35,1,core_grid
002,5,250,4,20,24,500,35,1,core_grid
003,6,250,4,20,24,500,35,1,core_grid
004,7,250,4,20,24,500,35,1,core_grid
005,8,250,4,20,24,500,35,1,core_grid
006,9,250,4,20,24,500,35,1,core_grid
007,10,250,4,20,24,500,35,1,core_grid
008,11,250,4,20,24,500,35,1,core_grid
009,12,250,4,20,24,500,35,1,core_grid
010,13,250,4,20,24,500,35,1,core_grid
011,14,250,4,20,24,500,35,1,core_grid
012,15,250,4,20,24,500,35,1,core_grid
013,4,275,4,20,24,500,35,1,core_grid
014,5,275,4,20,24,500,35,1,core_grid
015,6,275,4,20,24,500,35,1,core_grid
016,7,275,4,20,24,500,35,1,core_grid
017,8,275,4,20,24,500,35,1,core_grid
018,9,275,4,20,24,500,35,1,core_grid
019,10,275,4,20,24,500,35,1,core_grid
020,11,275,4,20,24,500,35,1,core_grid
021,12,275,4,20,24,500,35,1,core_grid
022,13,275,4,20,24,500,35,1,core_grid
023,14,275,4,20,24,500,35,1,core_grid
024,15,275,4,20,24,500,35,1,core_grid
025,4,300,4,20,24,500,35,1,core_grid
026,5,300,4,20,24,500,35,1,core_grid
027,6,300,4,20,24,500,35,1,core_grid
028,7,300,4,20,24,500,35,1,core_grid
029,8,300,4,20,24,500,35,1,core_grid
030,9,300,4,20,24,500,35,1,core_grid
031,10,300,4,20,24,500,35,1,core_grid
032,11,300,4,20,24,500,35,1,core_grid
033,12,300,4,20,24,500,35,1,core_grid
034,13,300,4,20,24,500,35,1,core_grid
035,14,300,4,20,24,500,35,1,core_grid
036,15,300,4,20,24,500,35,1,core_grid
037,4,325,4,20,24,500,35,1,core_grid
038,5,325,4,20,24,500,35,1,core_grid
039,6,325,4,20,24,500,35,1,core_grid
040,7,325,4,20,24,500,35,1,core_grid
041,8,325,4,20,24,500,35,1,core_grid
042,9,325,4,20,24,500,35,1,core_grid
043,10,325,4,20,24,500,35,1,core_grid
044,11,325,4,20,24,500,35,1,core_grid
045,12,325,4,20,24,500,35,1,core_grid
046,13,325,4,20,24,500,35,1,core_grid
047,14,325,4,20,24,500,35,1,core_grid
048,15,325,4,20,24,500,35,1,core_grid

# ============================================================
# PHASE 2: VALENCY COMPARISON - 16 simulations
# ============================================================
# A2B22 (phosphorylated-like, low valency)
049,5,275,2,22,24,500,35,2,valency
050,5,300,2,22,24,500,35,2,valency
051,8,275,2,22,24,500,35,2,valency
052,8,300,2,22,24,500,35,2,valency

# A6B18 (intermediate valency)
053,5,275,6,18,24,500,35,2,valency
054,5,300,6,18,24,500,35,2,valency
055,8,275,6,18,24,500,35,2,valency
056,8,300,6,18,24,500,35,2,valency

# A8B16 (high valency - literature sweet spot)
057,5,275,8,16,24,500,35,2,valency
058,5,300,8,16,24,500,35,2,valency
059,8,275,8,16,24,500,35,2,valency
060,8,300,8,16,24,500,35,2,valency

# A12B12 (very high valency)
061,5,275,12,12,24,500,35,2,valency
062,5,300,12,12,24,500,35,2,valency
063,8,275,12,12,24,500,35,2,valency
064,8,300,12,12,24,500,35,2,valency

# ============================================================
# PHASE 2: CHAIN LENGTH EFFECTS - 8 simulations
# ============================================================
# N=48 (A8B40) - box=100 to fit chain span ~94nm
065,5,275,8,40,48,250,100,2,chain_length
066,5,300,8,40,48,250,100,2,chain_length
067,8,275,8,40,48,250,100,2,chain_length
068,8,300,8,40,48,250,100,2,chain_length

# N=96 (A16B80) - box=200 to fit chain span ~188nm
069,5,275,16,80,96,100,200,2,chain_length
070,5,300,16,80,96,100,200,2,chain_length
071,8,275,16,80,96,100,200,2,chain_length
072,8,300,16,80,96,100,200,2,chain_length

# ============================================================
# PHASE 3: FINE GRID AROUND CRITICAL POINTS - 12 simulations
# ============================================================
# Fine ε grid at T=300K (expected critical region)
073,6.5,300,4,20,24,500,35,3,fine_grid
074,7.5,300,4,20,24,500,35,3,fine_grid
075,8.5,300,4,20,24,500,35,3,fine_grid
076,9.5,300,4,20,24,500,35,3,fine_grid
077,10.5,300,4,20,24,500,35,3,fine_grid
078,11.5,300,4,20,24,500,35,3,fine_grid

# Fine T grid at ε=8 (near expected critical T)
079,8,260,4,20,24,500,35,3,fine_grid
080,8,270,4,20,24,500,35,3,fine_grid
081,8,280,4,20,24,500,35,3,fine_grid
082,8,290,4,20,24,500,35,3,fine_grid
083,8,310,4,20,24,500,35,3,fine_grid
084,8,340,4,20,24,500,35,3,fine_grid

# ============================================================
# PHASE 3: STATISTICAL REPLICATES - 12 simulations
# ============================================================
# 3 replicates each at 4 key conditions
# Critical point (ε=8, T=300)
085,8,300,4,20,24,500,35,3,replicate
086,8,300,4,20,24,500,35,3,replicate
# Phase separated (ε=12, T=275)
087,12,275,4,20,24,500,35,3,replicate
088,12,275,4,20,24,500,35,3,replicate
# High valency critical (ε=5, T=300, A8B16)
089,5,300,8,16,24,500,35,3,replicate
090,5,300,8,16,24,500,35,3,replicate
# Phospho comparison (ε=8, T=300, A2B22)
091,8,300,2,22,24,500,35,3,replicate
092,8,300,2,22,24,500,35,3,replicate

# ============================================================
# CONTROL: LOW CONCENTRATION COMPARISON - 6 simulations
# ============================================================
# Same params as core but at low ρ (original setup) for comparison
093,8,300,4,20,24,200,100,3,control
094,12,300,4,20,24,200,100,3,control
095,8,275,4,20,24,200,100,3,control
096,12,275,4,20,24,200,100,3,control
097,8,300,8,16,24,200,100,3,control
098,5,300,8,16,24,200,100,3,control
